OBJECTID,ZONING_ABBREVIATION,ZONING,STATUS,TOWN,PLAN_NAME,MyPlan_GZT,Shape__Area,Shape__Length
94,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,5584.5475769043,337.904426527793
95,A,Agriculture,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,P1,5575.86676025391,299.722109121901
96,R,Residential (Phase 2),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,5568.6418762207,335.115015132244
97,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,5527.40997314453,315.304095111596
98,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5482.91064453125,308.735230333705
99,R,Residential (Phase 1),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,5452.38739013672,337.811821577944
100,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,5337.91632080078,349.63241146255
101,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5270.67694091797,303.012572197697
102,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5177.26022338867,298.182081876415
103,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5167.72100830078,349.415429098479
104,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,5155.41305541992,352.834122043056
105,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,4914.2822265625,731.141575610666
106,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,4849.8701171875,539.24728097202
107,TC,Town Centre,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,M2,4838.35537719727,329.090605789501
108,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4828.70153808594,385.737322917615
109,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4818.77853393555,299.618373257277
110,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4727.09680175781,279.811424580871
111,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4680.57275390625,357.380538107939
112,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,2918.87161254883,768.778823954574
113,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4501.7741394043,337.914112150573
114,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4374.20495605469,259.282515743597
115,R,Residential (Phase 1),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,4367.90924072266,292.733940086442
116,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4348.36016845703,287.778303553012
117,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4292.80291748047,268.323137102203
118,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,4274.57257080078,279.825323761852
119,R,Residential (Phase 2),ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R1.6,4250.03164672852,325.372496592392
120,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4111.39694213867,268.463357594437
121,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,4081.67330932617,266.432969403021
122,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,4041.15777587891,345.721130110378
123,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3832.21295166016,351.241610754085
124,CF,Community Facilities,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,S3,3811.22381591797,266.451759049081
125,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3766.71450805664,513.66453238272
126,R,Residential Existing,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,R2.6,3747.15374755859,243.555177038803
127,OS,Open Space / Recreation & Amenity,ADOPTED,Oranmore,Oranmore LAP 2012 - 2022,G1,3677.75375366211,286.134490298366
